date,market,code,name,open,high,low,close,change,volume,value,transactions
2024-10-07,TWSE,0050,元大台灣50,185.80,188.20,185.80,188.15,4.55,13993911,2620896326,16827
2024-10-07,TWSE,0051,元大中型100,81.00,81.55,80.95,81.55,1.25,89532,7262582,336
2024-10-07,TWSE,0052,富邦科技,181.90,184.50,181.90,184.15,4.90,858146,157642228,1438
2024-10-07,TWSE,0053,元大電子,99.50,100.30,99.50,100.30,1.80,29410,2938383,123
2024-10-07,TWSE,0055,元大MSCI金融,29.14,29.52,29.14,29.45,0.40,186946,5494316,419
2024-10-07,TWSE,0056,元大高股息,38.59,38.67,38.38,38.64,0.29,49307517,1898756844,29141
2024-10-07,TWSE,0057,富邦摩台,138.70,138.70,138.25,138.40,2.70,24772,3425247,97
2024-10-07,TWSE,0061,元大寶滬深,26.00,27.94,25.90,26.48,1.95,17858894,477083397,6955
2024-10-07,TWSE,006203,元大MSCI台灣,88.40,88.85,88.40,88.85,1.65,7334,648715,109
2024-10-07,TWSE,006204,永豐臺灣加權,114.00,114.25,113.70,113.90,1.60,19254,2195183,151
2024-10-07,TWSE,006205,富邦上証,38.40,40.50,38.40,39.13,1.01,8118995,318511018,3137
2024-10-07,TWSE,006206,元大上證50,37.40,39.95,37.40,38.12,1.17,3631799,139108164,2188
2024-10-07,TWSE,006207,復華滬深,31.80,32.82,29.72,30.46,1.46,4810081,146829859,1237
2024-10-07,TWSE,006208,富邦台50,108.65,110.10,108.65,109.95,2.45,11252536,1234971664,14903
2024-10-07,TWSE,00625K,富邦上証+R,,,,,0.00,0,0,0
2024-10-07,TWSE,00631L,元大台灣50正2,233.90,238.45,233.60,238.20,10.10,7439013,1758066718,6244
2024-10-07,TWSE,00632R,元大台灣50反1,3.36,3.37,3.32,3.32,-0.09,259730845,866957892,7758
2024-10-07,TWSE,00633L,富邦上証正2,54.75,56.65,54.70,56.00,2.50,44902981,2497448244,6211
2024-10-07,TWSE,00634R,富邦上証反1,3.59,3.62,3.55,3.58,-0.05,1624505,5820173,224
2024-10-07,TWSE,00635U,期元大S&P黃金,30.71,30.71,30.58,30.60,-0.28,1142722,35003039,806
2024-10-07,TWSE,00636,國泰中國A50,27.94,29.50,27.56,28.00,0.97,21851532,615981507,6356
2024-10-07,TWSE,00636K,國泰中國A50+U,7.68,7.68,7.68,7.68,0.00,1400,10752,1
2024-10-07,TWSE,00637L,元大滬深300正2,22.39,22.80,22.13,22.62,1.06,322063295,7244517556,39618
2024-10-07,TWSE,00638R,元大滬深300反1,7.54,7.63,7.47,7.62,0.01,1665751,12593514,404
2024-10-07,TWSE,00639,富邦深100,16.30,18.50,16.26,17.10,1.91,35686104,609477887,10465
2024-10-07,TWSE,00640L,富邦日本正2,53.60,54.00,53.50,54.00,2.15,967741,52065387,543
2024-10-07,TWSE,00641R,富邦日本反1,6.10,6.11,6.09,6.10,-0.09,1219484,7435615,208
2024-10-07,TWSE,00642U,期元大S&P石油,17.25,17.29,17.21,17.27,0.15,9476278,163494929,2182
2024-10-07,TWSE,00643,群益深証中小,16.00,16.84,15.86,16.43,1.32,13338821,217987114,3212
2024-10-07,TWSE,00643K,群益深証中小+R,,,,,0.00,0,0,0
2024-10-07,TWSE,00645,富邦日本,37.70,37.82,37.68,37.78,0.73,1365303,51520473,609
2024-10-07,TWSE,00646,元大S&P500,57.65,57.95,57.65,57.85,0.80,3342104,193375544,2168
2024-10-07,TWSE,00647L,元大S&P500正2,95.05,95.25,94.70,94.70,1.65,139456,13241092,79
2024-10-07,TWSE,00648R,元大S&P500反1,5.30,5.30,5.29,5.29,-0.04,1318250,6981083,541
2024-10-07,TWSE,00650L,復華香港正2,16.11,16.92,16.09,16.58,0.63,70846422,1166059333,8155
2024-10-07,TWSE,00651R,復華香港反1,6.87,6.87,6.56,6.63,-0.35,7023621,46736147,810
2024-10-07,TWSE,00652,富邦印度,40.41,40.41,39.88,39.88,-0.55,710023,28513600,943
2024-10-07,TWSE,00653L,富邦印度正2,67.40,67.40,66.10,66.15,-2.10,1083211,72331096,643
2024-10-07,TWSE,00654R,富邦印度反1,6.18,6.23,6.18,6.23,0.11,914590,5679136,141
2024-10-07,TWSE,00655L,國泰中國A50正2,37.40,38.69,37.39,38.25,1.75,26607953,1012812374,4248
2024-10-07,TWSE,00656R,國泰中國A50反1,6.74,6.75,6.50,6.57,-0.09,2579562,16960628,494
2024-10-07,TWSE,00657,國泰日經225,46.40,46.50,46.29,46.43,0.91,820101,38054492,471
2024-10-07,TWSE,00657K,國泰日經225+U,14.40,14.40,14.40,14.40,0.08,2000,28800,1
2024-10-07,TWSE,00660,元大歐洲50,36.24,36.24,36.22,36.22,0.29,4001,145053,97
2024-10-07,TWSE,00661,元大日經225,50.50,50.70,50.45,50.70,1.08,334787,16948778,355
2024-10-07,TWSE,00662,富邦NASDAQ,83.20,83.35,82.90,82.95,1.05,2392521,198833361,1609
2024-10-07,TWSE,00663L,國泰臺灣加權正2,214.30,218.10,214.25,217.60,6.25,30490,6602647,28
2024-10-07,TWSE,00664R,國泰臺灣加權反1,3.79,3.79,3.75,3.75,-0.09,9845674,37051453,636
2024-10-07,TWSE,00665L,富邦恒生國企正2,11.40,11.78,11.04,11.37,0.51,163532882,1847825742,15565
2024-10-07,TWSE,00666R,富邦恒生國企反1,11.12,11.12,10.83,10.91,-0.22,720045,7897262,152
2024-10-07,TWSE,00668,國泰美國道瓊,49.39,49.63,49.39,49.53,0.63,671108,33216406,177
2024-10-07,TWSE,00668K,國泰美國道瓊+U,15.39,15.39,15.39,15.39,0.12,300,4617,1
2024-10-07,TWSE,00669R,國泰美國道瓊反1,6.63,6.66,6.62,6.66,-0.03,2281309,15157166,167
2024-10-07,TWSE,00670L,富邦NASDAQ正2,124.45,125.10,124.45,124.50,2.25,866509,108017433,547
2024-10-07,TWSE,00671R,富邦NASDAQ反1,3.69,3.70,3.68,3.70,-0.03,8306978,30670280,257
2024-10-07,TWSE,00673R,期元大S&P原油反1,7.22,7.25,7.22,7.24,-0.03,25473246,184392672,1524
2024-10-07,TWSE,00674R,期元大S&P黃金反1,9.50,9.52,9.50,9.51,0.06,917000,8721810,104
2024-10-07,TWSE,00675L,富邦臺灣加權正2,93.40,95.30,93.40,95.30,3.95,4705184,444898038,3754
2024-10-07,TWSE,00676R,富邦臺灣加權反1,2.11,2.11,2.09,2.09,-0.04,4512333,9469058,313
2024-10-07,TWSE,00678,群益那斯達克生技,30.03,30.10,30.03,30.03,0.13,270077,8114326,87
2024-10-07,TWSE,00680L,元大美債20正2,9.06,9.09,9.03,9.06,-0.22,136895074,1239901432,13674
2024-10-07,TWSE,00681R,元大美債20反1,19.63,19.63,19.61,19.63,0.26,406001,7965969,30
2024-10-07,TWSE,00682U,期元大美元指數,20.72,20.75,20.72,20.75,0.11,13106,271771,12
2024-10-07,TWSE,00683L,期元大美元指正2,22.00,22.05,22.00,22.05,0.28,109210,2405526,38
2024-10-07,TWSE,00684R,期元大美元指反1,15.55,15.58,15.55,15.56,-0.08,20105,312960,13
2024-10-07,TWSE,00685L,群益臺灣加權正2,83.50,85.05,83.45,84.95,3.40,1170811,98823446,717
2024-10-07,TWSE,00686R,群益臺灣加權反1,2.29,2.30,2.27,2.28,-0.04,2199800,5027774,67
2024-10-07,TWSE,00688L,國泰20年美債正2,9.02,9.03,8.99,9.02,-0.23,80263035,723393910,7922
2024-10-07,TWSE,00689R,國泰20年美債反1,20.35,20.37,20.34,20.37,0.26,163000,3319080,9
2024-10-07,TWSE,00690,兆豐藍籌30,34.22,34.65,34.22,34.42,0.52,1227469,42235342,423
2024-10-07,TWSE,00692,富邦公司治理,43.52,44.12,43.50,44.10,0.93,3141374,137999317,2778
2024-10-07,TWSE,00693U,期街口S&P黃豆,21.05,21.09,21.02,21.03,-0.40,272688,5737101,172
2024-10-07,TWSE,00700,富邦恒生國企,18.01,18.55,17.30,17.77,0.81,6778274,120898461,2279
2024-10-07,TWSE,00701,國泰股利精選30,29.35,29.65,29.33,29.53,0.25,453729,13363006,464
2024-10-07,TWSE,00702,國泰標普低波高息,24.96,25.05,24.95,25.05,0.09,94479,2357853,66
2024-10-07,TWSE,00703,台新MSCI中國,20.95,24.28,20.95,22.01,2.03,1712302,38425240,867
2024-10-07,TWSE,00706L,期元大S&P日圓正2,6.60,6.60,6.52,6.53,-0.21,30856330,201935354,3704
2024-10-07,TWSE,00707R,期元大S&P日圓反1,28.52,28.52,28.52,28.52,0.37,3000,85560,1
